Dex #,Pokemon,Research Task 1,Research Task 2,Research Task 3,Research Task 4,Research Task 5,Research Task 6,Research Task 7,Research Task 8,Research Task 9,,,
1,Rowlet,Number caught (5),Times you've seen it use Leafage (15),Times you've seen it use Roost (15),Times you've seen it use Aerial Ace (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number you've evolved (1),,,,,
2,Dartrix,Number caught (5),Times you've seen it use Leafage (15),Times you've seen it use Roost (15),Times you've seen it use Aerial Ace (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number you've evolved (3),,,,,
3,Decidueye,Number caught (5),Times you've seen it use Triple Arrows (40),Times you've seen it use Leaf Blade (25),Times you've seen it use Leaf Storm (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,
4,Cyndaquil,Number caught (5),Times you've seen it use Ember (15),Times you've seen it use Quick Attack (15),Times you've seen it use Flame Wheel (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number you've evolved (1),,,,,
5,Quilava,Number caught (5),Times you've seen it use Ember (15),Times you've seen it use Quick Attack (15),Times you've seen it use Flame Wheel (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number you've evolved (3),,,,,
6,Typhlosion,Number caught (5),Times you've seen it use Infernal Parade (40),Times you've seen it use Flamethrower (25),Times you've seen it use Overheat (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,
7,Oshawott,Number caught (5),Times you've seen it use Aqua Jet (15),Times you've seen it use Water Pulse (15),Times you've seen it use Slash (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number evolved (1),,,,,
8,Dewott,Number caught (5),Times you've seen it use Aqua Jet (15),Times you've seen it use Water Pulse (15),Times you've seen it use Slash (15),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),Number evolved (3),,,,,
10,Bidoof,Number caught (25),Number of heavy specimens you've caught (7),Number defeated (15),Number of different forms you've obtained (2),Number you've evolved (1),Investigated the Bidoof that bother the village (1),,,,,,
11,Bibarel,Number caught (25),Number of alpha specimens caught (5),Number defeated (20),Times you've seen it use Bite (25),Times you've seen it use Aqua Tail (25),Times you've seen it use a strong style move (25),Number of different forms you've obtained (2),,,,,
